fuente_canonica	n_necesidades_servidas	destraba_sin_ruta	destraba_condicional_faltante	celda_piloto_FIN	url_conocida	clasificacion_a4_previa	palanca
ISSP	7:N2,N3,N12,N13,N14,N28,N30	SI (censo fila 12,13,14; N12,N13,N14)	N2:confirmar participacion Mexico, reactivos, outcome y licencia / falta verificar texto mexicano, dirección, condicionantes y si identifica monitoreo/sanción en grupos || N3:universo: release final ISSP 2019, 29 países; consulta Mexico/México y tabla de países, un intento web el 2026-08-06; no se encontró muestra México / México no aparece en la lista final revisada; no se afirma inexistencia global y no se reabre ADR-54 || N12:no es panel; falta mapear texto, forma y si las conductas están referidas al propio hogar / confirmar participacion Mexico, reactivos, outcome y licencia / falta verificar texto mexicano, dirección, condicionantes y si identifica monitoreo/sanción en grupos || N13:falta verificar texto mexicano, dirección, condicionantes y si identifica monitoreo/sanción en grupos / no es panel; falta mapear texto, forma y si las conductas están referidas al propio hogar / confirmar Mexico, item literal, outcome y licencia || N14:falta verificar texto mexicano, dirección, condicionantes y si identifica monitoreo/sanción en grupos || N28:falta verificar texto mexicano, dirección, condicionantes y si identifica monitoreo/sanción en grupos || N30:falta verificar texto mexicano, dirección, condicionantes y si identifica monitoreo/sanción en grupos / texto y coobservación exacta	SI	https://www.gesis.org/en/issp/data-and-documentation/social-networks/2017	CANDIDATAx13+NEGATIVAx1	1
ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	2:N15,N31	SI (censo fila 15; N15)	N15:no hay ejecutable/archivo de replicación ni muestra mexicana no universitaria nacional; el corpus de servicio no es rechazo superior/inferior pareado || N31:no hay ejecutable/archivo de replicación ni muestra mexicana no universitaria nacional; el corpus de servicio no es rechazo superior/inferior pareado	SI	https://pragmatics.indiana.edu/textbook/corpus/Encdeserv.html	NEGATIVA(CURADURIA_SEMANTICA_MULTI2)	2
WVS	2:N5,N15	SI (censo fila 15; N15)	N5:WVS ya figura en catálogo v2.0; no es una puerta nueva y el mapeo México permanece pendiente || N15:WVS ya figura en catálogo v2.0; no es una puerta nueva y el mapeo México permanece pendiente	SI	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	3
EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	1:N13	SI (censo fila 13; N13)	N13:item explicito de deber/obligacion y llaves cuidador-niño	SI	https://microdata.worldbank.org/catalog/2661/study-description	CANDIDATA(APERTURA_INDETERMINADA)	4
IMPACT_EVALUATION_OF_MOBILE_PEDAGOGICAL_TUTORS_2016	1:N15	SI (censo fila 15; N15)	N15:no coincide con liderazgo, deferencia o cuidado exactos	SI	https://microdata.worldbank.org/catalog/6667	NEGATIVA(APERTURA_NEGATIVA_EXPLICITA)	5
GPS	5:N2,N4,N5,N6,N17	NO	N2:falta confirmar n de México, texto/codificación exactos y desenlace coobservado pertinente para cada generador || N4:falta confirmar n de México, texto/codificación exactos y desenlace coobservado pertinente para cada generador || N5:falta confirmar n de México, texto/codificación exactos y desenlace coobservado pertinente para cada generador || N6:falta confirmar n de México, texto/codificación exactos y desenlace coobservado pertinente para cada generador || N17:falta confirmar n de México, texto/codificación exactos y desenlace coobservado pertinente para cada generador	SI	https://gps.econ.uni-bonn.de/home	CANDIDATA(APERTURA_INDETERMINADA)	6
CSES	4:N17,N25,N26,N27	NO	N17:texto y codificación || N25:texto y codificación || N26:no es panel ni padrón de beneficiarios; no identifica por sí solo tratamiento de Pensión del Bienestar / texto y codificación || N27:no es panel ni padrón de beneficiarios; no identifica por sí solo tratamiento de Pensión del Bienestar	SI	https://cses.org/data-download/cses-module-5-2016-2021/	CANDIDATA(APERTURA_INDETERMINADA)	7
MEXICO_ENTERPRISE_SURVEYS_COMPONENTE_PANEL_CANDIDATO_2006_2010	3:N22,N23,N32	NO	N22:continuidad de empresas, llave longitudinal, comparabilidad y dos observaciones por id || N23:continuidad de empresas, llave longitudinal, comparabilidad y dos observaciones por id || N32:continuidad de empresas, llave longitudinal, comparabilidad y dos observaciones por id	NO	VACIO	CANDIDATA(APERTURA_INDETERMINADA)	8
WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	3:N22,N23,N32	NO	N22:no es panel ni resuelve objetos exactos / no documenta jerarquía plana/tradicional, liderazgo autoritario-benévolo, reporte voluntario de error ni feedback público/privado || N23:no documenta jerarquía plana/tradicional, liderazgo autoritario-benévolo, reporte voluntario de error ni feedback público/privado / no es panel ni resuelve objetos exactos || N32:no es panel ni resuelve objetos exactos / no documenta jerarquía plana/tradicional, liderazgo autoritario-benévolo, reporte voluntario de error ni feedback público/privado	NO	https://microdata.worldbank.org/catalog/6453	CANDIDATAx3+NEGATIVAx3	9
ACLED	2:N17,N27	NO	N17:licencia y adecuación || N27:licencia y adecuación || *:agregado mes×año, sin admin1/admin2/estado/municipio ni coordenadas -- falta granularidad de evento y geografía sub-nacional (verif3.md:105-112)	SI	VACIO	NEGATIVAx1+NO_ACCESIBLEx2	10
